simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0779559	18999	274.461
40	1229	92	0	96.3531	3.71761e-06	2.21416
80	1242	13	0	91.4478	7.06471e-16	0.00906797
120	1266	24	0	91.6813	1.26555e-25	3.71369e-05
160	1295	29	0	91.7668	2.10765e-35	1.52088e-07
200	1338	43	0	92.1221	3.24782e-45	6.22839e-10
240	1371	33	0	92.3305	4.62533e-55	2.55064e-12
280	1429	58	0	92.9672	6.0235e-65	1.04452e-14
320	1488	59	0	93.2744	7.14145e-75	4.27735e-17
360	1546	59	1	93.7996	7.70886e-85	1.75156e-19
400	1627	82	1	94.1955	7.56233e-95	7.17248e-22
440	1742	116	1	94.5746	6.65738e-105	2.93701e-24
480	1865	125	2	96.1894	5.23153e-115	1.20263e-26
520	2006	146	5	96.2148	3.60875e-125	4.92439e-29
560	2121	118	3	97.3158	2.15035e-135	2.01633e-31
600	2197	79	3	97.9332	1.11516e-145	8.25581e-34
640	2295	102	4	98.7142	4.9726e-156	3.38022e-36
680	2392	100	3	100.45	1.84428e-166	1.38393e-38
720	2423	35	4	99.0621	5.80855e-177	5.66592e-41
760	2468	50	5	100.188	1.5519e-187	2.31958e-43
800	2504	40	4	100.559	3.47192e-198	9.49582e-46
840	2570	70	4	100.274	6.53935e-209	3.88722e-48
880	2640	81	11	101.001	1.02803e-219	1.59122e-50
920	2753	117	4	102.765	1.34725e-230	6.51336e-53
960	2858	111	6	102.125	1.49157e-241	2.66604e-55
1000	2965	114	7	103.665	1.40433e-252	1.09122e-57
1040	3139	179	5	104.335	1.11822e-263	4.46628e-60
1080	3338	202	3	105.957	7.29468e-275	1.82795e-62
1120	3558	224	4	108.705	3.80767e-286	7.4811e-65
1160	3815	262	5	109.172	1.56295e-297	3.06161e-67
1200	4049	244	10	113.042	0	68.4461
1240	4205	161	5	111.365	0	0.280088
1280	4396	194	3	112.346	0	0.00114608
1320	4562	174	8	115.286	0	4.6893e-06
1360	4634	83	11	117.193	0	1.91855e-08
1400	4723	93	4	116.088	0	7.84885e-11
1440	4795	79	7	115.554	0	3.21077e-13
1440.02	4796	1	0	0.883571	0	3.20196e-13
