simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0851824	18999	274.461
40	1230	93	0	109.676	3.72364e-06	5.52158
80	1245	15	0	94.0763	7.06224e-16	0.0358949
120	1266	21	0	95.193	1.29955e-25	0.00922063
160	1294	28	0	94.6293	2.29985e-35	0.00235259
200	1329	35	0	94.3925	3.76858e-45	0.000921144
240	1363	34	0	94.7677	5.6929e-55	0.000223535
280	1412	49	0	94.923	8.01179e-65	1.10575e-06
320	1470	58	0	95.2541	1.03748e-74	4.52817e-09
360	1529	60	1	96.0703	1.22751e-84	1.8543e-11
400	1611	83	1	96.584	1.32386e-94	7.59333e-14
440	1711	105	5	96.9046	1.28882e-104	3.1094e-16
480	1821	115	5	98.9192	1.11805e-114	1.27324e-18
520	1964	152	9	98.6233	8.59012e-125	5.21361e-21
560	2073	124	15	99.8629	5.72585e-135	2.1348e-23
600	2133	70	10	100.435	3.33709e-145	8.74105e-26
640	2242	114	5	101.201	1.66972e-155	3.57897e-28
680	2330	93	5	102.132	6.97823e-166	1.46534e-30
720	2360	34	4	103.558	2.44947e-176	5.99936e-33
760	2391	34	3	102.97	7.36906e-187	2.45615e-35
800	2439	51	3	102.441	1.86941e-197	1.00552e-37
840	2500	65	4	104.538	3.9994e-208	4.1163e-40
880	2572	74	2	103.47	7.25616e-219	1.68504e-42
920	2652	85	5	105.437	1.1339e-229	6.89761e-45
960	2753	106	5	105.419	1.51667e-240	2.82341e-47
1000	2885	138	6	105.714	1.7048e-251	1.15567e-49
1040	3026	145	4	107.61	1.59834e-262	4.73024e-52
1080	3231	216	11	107.924	1.23918e-273	1.93605e-54
1120	3428	203	6	110.753	7.91674e-285	7.92386e-57
1160	3701	276	3	125.698	4.06639e-296	341.637
1200	3945	248	4	114.106	0	1.40907
1240	4055	119	9	113.341	0	0.0477859
1280	4205	159	9	112.677	0	0.0154858
1320	4302	107	10	113.81	0	0.00328419
1360	4338	45	9	115.918	0	0.000348786
1400	4390	60	8	115.901	0	2.25417e-06
1440	4483	99	6	116.589	0	9.22328e-09
1440.02	4489	6	0	0.708676	0	9.19796e-09
